I	one
CMXXVII	nine hundred twenty seven
CMXXVIII	nine hundred twenty eight
CMXXIX	nine hundred twenty nine
CMXXX	nine hundred thirty
CMXXXI	nine hundred thirty one
CMXXXII	nine hundred thirty two
CMXXXIII	nine hundred thirty three
CMXXXIV	nine hundred thirty four
CMXXXV	nine hundred thirty five
CMXXXVI	nine hundred thirty six
CMXXXVII	nine hundred thirty seven
CMXXXVIII	nine hundred thirty eight
CMXXXIX	nine hundred thirty nine
CMXL	nine hundred forty
CMXLI	nine hundred forty one
CMXLII	nine hundred forty two
CMXLIII	nine hundred forty three
CMXLIV	nine hundred forty four
CMXLV	nine hundred forty five
CMXLVI	nine hundred forty six
CMXLVII	nine hundred forty seven
CMXLVIII	nine hundred forty eight
CMXLIX	nine hundred forty nine
CML	nine hundred fifty
CMLI	nine hundred fifty one
CMLII	nine hundred fifty two
CMLIII	nine hundred fifty three
CMLIV	nine hundred fifty four
CMLV	nine hundred fifty five
CMLVI	nine hundred fifty six
CMLVII	nine hundred fifty seven
CMLVIII	nine hundred fifty eight
CMLIX	nine hundred fifty nine
CMLX	nine hundred sixty
CMLXI	nine hundred sixty one
CMLXII	nine hundred sixty two
CMLXIII	nine hundred sixty three
CMLXIV	nine hundred sixty four
CMLXV	nine hundred sixty five
CMLXVI	nine hundred sixty six
CMLXVII	nine hundred sixty seven
CMLXVIII	nine hundred sixty eight
CMLXIX	nine hundred sixty nine
CMLXX	nine hundred seventy
CMLXXI	nine hundred seventy one
CMLXXII	nine hundred seventy two
CMLXXIII	nine hundred seventy three
CMLXXIV	nine hundred seventy four
CMLXXV	nine hundred seventy five
CMLXXVI	nine hundred seventy six
CMLXXVII	nine hundred seventy seven
CMLXXVIII	nine hundred seventy eight
CMLXXIX	nine hundred seventy nine
CMLXXX	nine hundred eighty
CMLXXXI	nine hundred eighty one
CMLXXXII	nine hundred eighty two
CMLXXXIII	nine hundred eighty three
CMLXXXIV	nine hundred eighty four
CMLXXXV	nine hundred eighty five
CMLXXXVI	nine hundred eighty six
CMLXXXVII	nine hundred eighty seven
CMLXXXVIII	nine hundred eighty eight
CMLXXXIX	nine hundred eighty nine
CMXC	nine hundred ninety
CMXCI	nine hundred ninety one
CMXCII	nine hundred ninety two
CMXCIII	nine hundred ninety three
CMXCIV	nine hundred ninety four
CMXCV	nine hundred ninety five
CMXCVI	nine hundred ninety six
CMXCVII	nine hundred ninety seven
CMXCVIII	nine hundred ninety eight
CMXCIX	nine hundred ninety nine
M	one thousand
MI	one thousand one
MII	one thousand two
MIII	one thousand three
MIV	one thousand four
MV	one thousand five
MVI	one thousand six
MVII	one thousand seven
MVIII	one thousand eight
MIX	one thousand nine
MX	one thousand ten
MXI	one thousand eleven
MXII	one thousand twelve
MXIII	one thousand thirteen
MXIV	one thousand fourteen
MXV	one thousand fifteen
MXVI	one thousand sixteen
MXVII	one thousand seventeen
MXVIII	one thousand eighteen
MXIX	one thousand nineteen
MXX	one thousand twenty
MXXI	one thousand twenty one
MXXII	one thousand twenty two
MXXIII	one thousand twenty three
MXXIV	one thousand twenty four
MXXV	one thousand twenty five
MXXVI	one thousand twenty six
MXXVII	one thousand twenty seven
MXXVIII	one thousand twenty eight
MXXIX	one thousand twenty nine
MXXX	one thousand thirty
MXXXI	one thousand thirty one
MXXXII	one thousand thirty two
MXXXIII	one thousand thirty three
MXXXIV	one thousand thirty four
MXXXV	one thousand thirty five
MXXXVI	one thousand thirty six
MXXXVII	one thousand thirty seven
MXXXVIII	one thousand thirty eight
MXXXIX	one thousand thirty nine
MXL	one thousand forty
MXLI	one thousand forty one
MXLII	one thousand forty two
MXLIII	one thousand forty three
MXLIV	one thousand forty four
MXLV	one thousand forty five
MXLVI	one thousand forty six
MXLVII	one thousand forty seven
MXLVIII	one thousand forty eight
MXLIX	one thousand forty nine
ML	one thousand fifty
MLI	one thousand fifty one
MLII	one thousand fifty two
MLIII	one thousand fifty three
MLIV	one thousand fifty four
MLV	one thousand fifty five
MLVI	one thousand fifty six
MLVII	one thousand fifty seven
MLVIII	one thousand fifty eight
MLIX	one thousand fifty nine
MLX	one thousand sixty
MLXI	one thousand sixty one
MLXII	one thousand sixty two
MLXIII	one thousand sixty three
MLXIV	one thousand sixty four
MLXV	one thousand sixty five
MLXVI	one thousand sixty six
MLXVII	one thousand sixty seven
MLXVIII	one thousand sixty eight
MLXIX	one thousand sixty nine
MLXX	one thousand seventy
MLXXI	one thousand seventy one
MLXXII	one thousand seventy two
MLXXIII	one thousand seventy three
MLXXIV	one thousand seventy four
MLXXV	one thousand seventy five
MLXXVI	one thousand seventy six
MLXXVII	one thousand seventy seven
MLXXVIII	one thousand seventy eight
MLXXIX	one thousand seventy nine
MLXXX	one thousand eighty
MLXXXI	one thousand eighty one
MLXXXII	one thousand eighty two
MLXXXIII	one thousand eighty three
MLXXXIV	one thousand eighty four
MLXXXV	one thousand eighty five
MLXXXVI	one thousand eighty six
MLXXXVII	one thousand eighty seven
MLXXXVIII	one thousand eighty eight
MLXXXIX	one thousand eighty nine
MXC	one thousand ninety
MXCI	one thousand ninety one
MXCII	one thousand ninety two
MXCIII	one thousand ninety three
MXCIV	one thousand ninety four
MXCV	one thousand ninety five
MXCVI	one thousand ninety six
MXCVII	one thousand ninety seven
MXCVIII	one thousand ninety eight
MXCIX	one thousand ninety nine
MC	one thousand, one hundred
MCI	one thousand, one hundred one
MCII	one thousand, one hundred two
MCIII	one thousand, one hundred three
MCIV	one thousand, one hundred four
MCV	one thousand, one hundred five
MCVI	one thousand, one hundred six
MCVII	one thousand, one hundred seven
MCVIII	one thousand, one hundred eight
MCIX	one thousand, one hundred nine
MCX	one thousand, one hundred ten
MCXI	one thousand, one hundred eleven
MCXII	one thousand, one hundred twelve
MCXIII	one thousand, one hundred thirteen
MCXIV	one thousand, one hundred fourteen
MCXV	one thousand, one hundred fifteen
MCXVI	one thousand, one hundred sixteen
MCXVII	one thousand, one hundred seventeen
MCXVIII	one thousand, one hundred eighteen
MCXIX	one thousand, one hundred nineteen
MCXX	one thousand, one hundred twenty
MCXXI	one thousand, one hundred twenty one
MCXXII	one thousand, one hundred twenty two
MCXXIII	one thousand, one hundred twenty three
MCXXIV	one thousand, one hundred twenty four
MCXXV	one thousand, one hundred twenty five
MCXXVI	one thousand, one hundred twenty six
MCXXVII	one thousand, one hundred twenty seven
MCXXVIII	one thousand, one hundred twenty eight
MCXXIX	one thousand, one hundred twenty nine
MCXXX	one thousand, one hundred thirty
MCXXXI	one thousand, one hundred thirty one
MCXXXII	one thousand, one hundred thirty two
MCXXXIII	one thousand, one hundred thirty three
MCXXXIV	one thousand, one hundred thirty four
MCXXXV	one thousand, one hundred thirty five
MCXXXVI	one thousand, one hundred thirty six
MCXXXVII	one thousand, one hundred thirty seven
MCXXXVIII	one thousand, one hundred thirty eight
MCXXXIX	one thousand, one hundred thirty nine
MCXL	one thousand, one hundred forty
MCXLI	one thousand, one hundred forty one
MCXLII	one thousand, one hundred forty two
MCXLIII	one thousand, one hundred forty three
MCXLIV	one thousand, one hundred forty four
MCXLV	one thousand, one hundred forty five
MCXLVI	one thousand, one hundred forty six
MCXLVII	one thousand, one hundred forty seven
MCXLVIII	one thousand, one hundred forty eight
MCXLIX	one thousand, one hundred forty nine
MCL	one thousand, one hundred fifty
MCLI	one thousand, one hundred fifty one
MCLII	one thousand, one hundred fifty two
MCLIII	one thousand, one hundred fifty three
MCLIV	one thousand, one hundred fifty four
MCLV	one thousand, one hundred fifty five
MCLVI	one thousand, one hundred fifty six
MCLVII	one thousand, one hundred fifty seven
MCLVIII	one thousand, one hundred fifty eight
MCLIX	one thousand, one hundred fifty nine
MCLX	one thousand, one hundred sixty
MCLXI	one thousand, one hundred sixty one
MCLXII	one thousand, one hundred sixty two
MCLXIII	one thousand, one hundred sixty three
MCLXIV	one thousand, one hundred sixty four
MCLXV	one thousand, one hundred sixty five
MCLXVI	one thousand, one hundred sixty six
MCLXVII	one thousand, one hundred sixty seven
MCLXVIII	one thousand, one hundred sixty eight
MCLXIX	one thousand, one hundred sixty nine
MCLXX	one thousand, one hundred seventy
MCLXXI	one thousand, one hundred seventy one
MCLXXII	one thousand, one hundred seventy two
MCLXXIII	one thousand, one hundred seventy three
MCLXXIV	one thousand, one hundred seventy four
MCLXXV	one thousand, one hundred seventy five
MCLXXVI	one thousand, one hundred seventy six
MCLXXVII	one thousand, one hundred seventy seven
MCLXXVIII	one thousand, one hundred seventy eight
MCLXXIX	one thousand, one hundred seventy nine
MCLXXX	one thousand, one hundred eighty
MCLXXXI	one thousand, one hundred eighty one
MCLXXXII	one thousand, one hundred eighty two
MCLXXXIII	one thousand, one hundred eighty three
MCLXXXIV	one thousand, one hundred eighty four
MCLXXXV	one thousand, one hundred eighty five
MCLXXXVI	one thousand, one hundred eighty six
MCLXXXVII	one thousand, one hundred eighty seven
MCLXXXVIII	one thousand, one hundred eighty eight
MCLXXXIX	one thousand, one hundred eighty nine
MCXC	one thousand, one hundred ninety
MCXCI	one thousand, one hundred ninety one
MCXCII	one thousand, one hundred ninety two
MCXCIII	one thousand, one hundred ninety three
MCXCIV	one thousand, one hundred ninety four
MCXCV	one thousand, one hundred ninety five
MCXCVI	one thousand, one hundred ninety six
MCXCVII	one thousand, one hundred ninety seven
MCXCVIII	one thousand, one hundred ninety eight
MCXCIX	one thousand, one hundred ninety nine
MCC	one thousand, two hundred
MCCI	one thousand, two hundred one
MCCII	one thousand, two hundred two
MCCIII	one thousand, two hundred three
MCCIV	one thousand, two hundred four
MCCV	one thousand, two hundred five
MCCVI	one thousand, two hundred six
MCCVII	one thousand, two hundred seven
MCCVIII	one thousand, two hundred eight
MCCIX	one thousand, two hundred nine
MCCX	one thousand, two hundred ten
MCCXI	one thousand, two hundred eleven
MCCXII	one thousand, two hundred twelve
MCCXIII	one thousand, two hundred thirteen
MCCXIV	one thousand, two hundred fourteen
MCCXV	one thousand, two hundred fifteen
MCCXVI	one thousand, two hundred sixteen
MCCXVII	one thousand, two hundred seventeen
MCCXVIII	one thousand, two hundred eighteen
MCCXIX	one thousand, two hundred nineteen
MCCXX	one thousand, two hundred twenty
MCCXXI	one thousand, two hundred twenty one
MCCXXII	one thousand, two hundred twenty two
MCCXXIII	one thousand, two hundred twenty three
MCCXXIV	one thousand, two hundred twenty four
MCCXXV	one thousand, two hundred twenty five
MCCXXVI	one thousand, two hundred twenty six
MCCXXVII	one thousand, two hundred twenty seven
MCCXXVIII	one thousand, two hundred twenty eight
MCCXXIX	one thousand, two hundred twenty nine
MCCXXX	one thousand, two hundred thirty
MCCXXXI	one thousand, two hundred thirty one
MCCXXXII	one thousand, two hundred thirty two
MCCXXXIII	one thousand, two hundred thirty three
MCCXXXIV	one thousand, two hundred thirty four
MCCXXXV	one thousand, two hundred thirty five
MCCXXXVI	one thousand, two hundred thirty six
MCCXXXVII	one thousand, two hundred thirty seven
MCCXXXVIII	one thousand, two hundred thirty eight
MCCXXXIX	one thousand, two hundred thirty nine
MCCXL	one thousand, two hundred forty
MCCXLI	one thousand, two hundred forty one
MCCXLII	one thousand, two hundred forty two
MCCXLIII	one thousand, two hundred forty three
MCCXLIV	one thousand, two hundred forty four
MCCXLV	one thousand, two hundred forty five
MCCXLVI	one thousand, two hundred forty six
MCCXLVII	one thousand, two hundred forty seven
MCCXLVIII	one thousand, two hundred forty eight
MCCXLIX	one thousand, two hundred forty nine
MCCL	one thousand, two hundred fifty
MCCLI	one thousand, two hundred fifty one
MCCLII	one thousand, two hundred fifty two
MCCLIII	one thousand, two hundred fifty three
MCCLIV	one thousand, two hundred fifty four
MCCLV	one thousand, two hundred fifty five
MCCLVI	one thousand, two hundred fifty six
MCCLVII	one thousand, two hundred fifty seven
MCCLVIII	one thousand, two hundred fifty eight
MCCLIX	one thousand, two hundred fifty nine
MCCLX	one thousand, two hundred sixty
MCCLXI	one thousand, two hundred sixty one
MCCLXII	one thousand, two hundred sixty two
MCCLXIII	one thousand, two hundred sixty three
MCCLXIV	one thousand, two hundred sixty four
MCCLXV	one thousand, two hundred sixty five
MCCLXVI	one thousand, two hundred sixty six
MCCLXVII	one thousand, two hundred sixty seven
MCCLXVIII	one thousand, two hundred sixty eight
MCCLXIX	one thousand, two hundred sixty nine
MCCLXX	one thousand, two hundred seventy
MCCLXXI	one thousand, two hundred seventy one
MCCLXXII	one thousand, two hundred seventy two
MCCLXXIII	one thousand, two hundred seventy three
MCCLXXIV	one thousand, two hundred seventy four
MCCLXXV	one thousand, two hundred seventy five
MCCLXXVI	one thousand, two hundred seventy six
MCCLXXVII	one thousand, two hundred seventy seven
MCCLXXVIII	one thousand, two hundred seventy eight
MCCLXXIX	one thousand, two hundred seventy nine
MCCLXXX	one thousand, two hundred eighty
MCCLXXXI	one thousand, two hundred eighty one
MCCLXXXII	one thousand, two hundred eighty two
MCCLXXXIII	one thousand, two hundred eighty three
MCCLXXXIV	one thousand, two hundred eighty four
MCCLXXXV	one thousand, two hundred eighty five
MCCLXXXVI	one thousand, two hundred eighty six
MCCLXXXVII	one thousand, two hundred eighty seven
MCCLXXXVIII	one thousand, two hundred eighty eight
MCCLXXXIX	one thousand, two hundred eighty nine
MCCXC	one thousand, two hundred ninety
MCCXCI	one thousand, two hundred ninety one
MCCXCII	one thousand, two hundred ninety two
MCCXCIII	one thousand, two hundred ninety three
MCCXCIV	one thousand, two hundred ninety four
MCCXCV	one thousand, two hundred ninety five
MCCXCVI	one thousand, two hundred ninety six
MCCXCVII	one thousand, two hundred ninety seven
MCCXCVIII	one thousand, two hundred ninety eight
MCCXCIX	one thousand, two hundred ninety nine
MCCC	one thousand, three hundred
MCCCI	one thousand, three hundred one
MCCCII	one thousand, three hundred two
MCCCIII	one thousand, three hundred three
MCCCIV	one thousand, three hundred four
MCCCV	one thousand, three hundred five
MCCCVI	one thousand, three hundred six
MCCCVII	one thousand, three hundred seven
MCCCVIII	one thousand, three hundred eight
MCCCIX	one thousand, three hundred nine
MCCCX	one thousand, three hundred ten
MCCCXI	one thousand, three hundred eleven
MCCCXII	one thousand, three hundred twelve
MCCCXIII	one thousand, three hundred thirteen
MCCCXIV	one thousand, three hundred fourteen
MCCCXV	one thousand, three hundred fifteen
MCCCXVI	one thousand, three hundred sixteen
MCCCXVII	one thousand, three hundred seventeen
MCCCXVIII	one thousand, three hundred eighteen
MCCCXIX	one thousand, three hundred nineteen
MCCCXX	one thousand, three hundred twenty
MCCCXXI	one thousand, three hundred twenty one
MCCCXXII	one thousand, three hundred twenty two
MCCCXXIII	one thousand, three hundred twenty three
MCCCXXIV	one thousand, three hundred twenty four
MCCCXXV	one thousand, three hundred twenty five
MCCCXXVI	one thousand, three hundred twenty six
MCCCXXVII	one thousand, three hundred twenty seven
MCCCXXVIII	one thousand, three hundred twenty eight
MCCCXXIX	one thousand, three hundred twenty nine
MCCCXXX	one thousand, three hundred thirty
MCCCXXXI	one thousand, three hundred thirty one
MCCCXXXII	one thousand, three hundred thirty two
MCCCXXXIII	one thousand, three hundred thirty three
MCCCXXXIV	one thousand, three hundred thirty four
MCCCXXXV	one thousand, three hundred thirty five
MCCCXXXVI	one thousand, three hundred thirty six
MCCCXXXVII	one thousand, three hundred thirty seven
MCCCXXXVIII	one thousand, three hundred thirty eight
MCCCXXXIX	one thousand, three hundred thirty nine
MCCCXL	one thousand, three hundred forty
MCCCXLI	one thousand, three hundred forty one
MCCCXLII	one thousand, three hundred forty two
MCCCXLIII	one thousand, three hundred forty three
MCCCXLIV	one thousand, three hundred forty four
MCCCXLV	one thousand, three hundred forty five
MCCCXLVI	one thousand, three hundred forty six
MCCCXLVII	one thousand, three hundred forty seven
MCCCXLVIII	one thousand, three hundred forty eight
MCCCXLIX	one thousand, three hundred forty nine
MCCCL	one thousand, three hundred fifty
MCCCLI	one thousand, three hundred fifty one
MCCCLII	one thousand, three hundred fifty two
MCCCLIII	one thousand, three hundred fifty three
MCCCLIV	one thousand, three hundred fifty four
MCCCLV	one thousand, three hundred fifty five
MCCCLVI	one thousand, three hundred fifty six
MCCCLVII	one thousand, three hundred fifty seven
MCCCLVIII	one thousand, three hundred fifty eight
MCCCLIX	one thousand, three hundred fifty nine
MCCCLX	one thousand, three hundred sixty
MCCCLXI	one thousand, three hundred sixty one
MCCCLXII	one thousand, three hundred sixty two
MCCCLXIII	one thousand, three hundred sixty three
MCCCLXIV	one thousand, three hundred sixty four
MCCCLXV	one thousand, three hundred sixty five
MCCCLXVI	one thousand, three hundred sixty six
MCCCLXVII	one thousand, three hundred sixty seven
MCCCLXVIII	one thousand, three hundred sixty eight
MCCCLXIX	one thousand, three hundred sixty nine
MCCCLXX	one thousand, three hundred seventy
MCCCLXXI	one thousand, three hundred seventy one
MCCCLXXII	one thousand, three hundred seventy two
MCCCLXXIII	one thousand, three hundred seventy three
MCCCLXXIV	one thousand, three hundred seventy four
MCCCLXXV	one thousand, three hundred seventy five
MCCCLXXVI	one thousand, three hundred seventy six
MCCCLXXVII	one thousand, three hundred seventy seven
MCCCLXXVIII	one thousand, three hundred seventy eight
MCCCLXXIX	one thousand, three hundred seventy nine
MCCCLXXX	one thousand, three hundred eighty
MCCCLXXXI	one thousand, three hundred eighty one
MCCCLXXXII	one thousand, three hundred eighty two
MCCCLXXXIII	one thousand, three hundred eighty three
MCCCLXXXIV	one thousand, three hundred eighty four
MCCCLXXXV	one thousand, three hundred eighty five
MCCCLXXXVI	one thousand, three hundred eighty six
MCCCLXXXVII	one thousand, three hundred eighty seven
MCCCLXXXVIII	one thousand, three hundred eighty eight
MCCCLXXXIX	one thousand, three hundred eighty nine
MCCCXC	one thousand, three hundred ninety
MCCCXCI	one thousand, three hundred ninety one
MCCCXCII	one thousand, three hundred ninety two
MCCCXCIII	one thousand, three hundred ninety three
MCCCXCIV	one thousand, three hundred ninety four
MCCCXCV	one thousand, three hundred ninety five
MCCCXCVI	one thousand, three hundred ninety six
MCCCXCVII	one thousand, three hundred ninety seven
MCCCXCVIII	one thousand, three hundred ninety eight
MCCCXCIX	one thousand, three hundred ninety nine
MCD	one thousand, four hundred
MCDI	one thousand, four hundred one
MCDII	one thousand, four hundred two
MCDIII	one thousand, four hundred three
MCDIV	one thousand, four hundred four
MCDV	one thousand, four hundred five
MCDVI	one thousand, four hundred six
MCDVII	one thousand, four hundred seven
MCDVIII	one thousand, four hundred eight
MCDIX	one thousand, four hundred nine
MCDX	one thousand, four hundred ten
MCDXI	one thousand, four hundred eleven
MCDXII	one thousand, four hundred twelve
MCDXIII	one thousand, four hundred thirteen
MCDXIV	one thousand, four hundred fourteen
MCDXV	one thousand, four hundred fifteen
MCDXVI	one thousand, four hundred sixteen
MCDXVII	one thousand, four hundred seventeen
MCDXVIII	one thousand, four hundred eighteen
MCDXIX	one thousand, four hundred nineteen
MCDXX	one thousand, four hundred twenty
MCDXXI	one thousand, four hundred twenty one
MCDXXII	one thousand, four hundred twenty two
MCDXXIII	one thousand, four hundred twenty three
MCDXXIV	one thousand, four hundred twenty four
MCDXXV	one thousand, four hundred twenty five
MCDXXVI	one thousand, four hundred twenty six
MCDXXVII	one thousand, four hundred twenty seven
MCDXXVIII	one thousand, four hundred twenty eight
MCDXXIX	one thousand, four hundred twenty nine
MCDXXX	one thousand, four hundred thirty
MCDXXXI	one thousand, four hundred thirty one
MCDXXXII	one thousand, four hundred thirty two
MCDXXXIII	one thousand, four hundred thirty three
MCDXXXIV	one thousand, four hundred thirty four
MCDXXXV	one thousand, four hundred thirty five
MCDXXXVI	one thousand, four hundred thirty six
MCDXXXVII	one thousand, four hundred thirty seven
MCDXXXVIII	one thousand, four hundred thirty eight
MCDXXXIX	one thousand, four hundred thirty nine
MCDXL	one thousand, four hundred forty
MCDXLI	one thousand, four hundred forty one
MCDXLII	one thousand, four hundred forty two
MCDXLIII	one thousand, four hundred forty three
MCDXLIV	one thousand, four hundred forty four
MCDXLV	one thousand, four hundred forty five
MCDXLVI	one thousand, four hundred forty six
MCDXLVII	one thousand, four hundred forty seven
MCDXLVIII	one thousand, four hundred forty eight
MCDXLIX	one thousand, four hundred forty nine
MCDL	one thousand, four hundred fifty
MCDLI	one thousand, four hundred fifty one
MCDLII	one thousand, four hundred fifty two
MCDLIII	one thousand, four hundred fifty three
MCDLIV	one thousand, four hundred fifty four
MCDLV	one thousand, four hundred fifty five
MCDLVI	one thousand, four hundred fifty six
MCDLVII	one thousand, four hundred fifty seven
MCDLVIII	one thousand, four hundred fifty eight
MCDLIX	one thousand, four hundred fifty nine
MCDLX	one thousand, four hundred sixty
MCDLXI	one thousand, four hundred sixty one
MCDLXII	one thousand, four hundred sixty two
MCDLXIII	one thousand, four hundred sixty three
MCDLXIV	one thousand, four hundred sixty four
MCDLXV	one thousand, four hundred sixty five
MCDLXVI	one thousand, four hundred sixty six
MCDLXVII	one thousand, four hundred sixty seven
MCDLXVIII	one thousand, four hundred sixty eight
MCDLXIX	one thousand, four hundred sixty nine
MCDLXX	one thousand, four hundred seventy
MCDLXXI	one thousand, four hundred seventy one
MCDLXXII	one thousand, four hundred seventy two
MCDLXXIII	one thousand, four hundred seventy three
MCDLXXIV	one thousand, four hundred seventy four
MCDLXXV	one thousand, four hundred seventy five
MCDLXXVI	one thousand, four hundred seventy six
MCDLXXVII	one thousand, four hundred seventy seven
MCDLXXVIII	one thousand, four hundred seventy eight
MCDLXXIX	one thousand, four hundred seventy nine
MCDLXXX	one thousand, four hundred eighty
MCDLXXXI	one thousand, four hundred eighty one
MCDLXXXII	one thousand, four hundred eighty two
MCDLXXXIII	one thousand, four hundred eighty three
MCDLXXXIV	one thousand, four hundred eighty four
MCDLXXXV	one thousand, four hundred eighty five
MCDLXXXVI	one thousand, four hundred eighty six
MCDLXXXVII	one thousand, four hundred eighty seven
MCDLXXXVIII	one thousand, four hundred eighty eight
MCDLXXXIX	one thousand, four hundred eighty nine
MCDXC	one thousand, four hundred ninety
MCDXCI	one thousand, four hundred ninety one
MCDXCII	one thousand, four hundred ninety two
MCDXCIII	one thousand, four hundred ninety three
MCDXCIV	one thousand, four hundred ninety four
MCDXCV	one thousand, four hundred ninety five
MCDXCVI	one thousand, four hundred ninety six
MCDXCVII	one thousand, four hundred ninety seven
MCDXCVIII	one thousand, four hundred ninety eight
MCDXCIX	one thousand, four hundred ninety nine
MD	one thousand, five hundred
MDI	one thousand, five hundred one
MDII	one thousand, five hundred two
MDIII	one thousand, five hundred three
MDIV	one thousand, five hundred four
MDV	one thousand, five hundred five
MDVI	one thousand, five hundred six
MDVII	one thousand, five hundred seven
MDVIII	one thousand, five hundred eight
MDIX	one thousand, five hundred nine
MDX	one thousand, five hundred ten
MDXI	one thousand, five hundred eleven
MDXII	one thousand, five hundred twelve
MDXIII	one thousand, five hundred thirteen
MDXIV	one thousand, five hundred fourteen
MDXV	one thousand, five hundred fifteen
MDXVI	one thousand, five hundred sixteen
MDXVII	one thousand, five hundred seventeen
MDXVIII	one thousand, five hundred eighteen
MDXIX	one thousand, five hundred nineteen
MDXX	one thousand, five hundred twenty
MDXXI	one thousand, five hundred twenty one
MDXXII	one thousand, five hundred twenty two
MDXXIII	one thousand, five hundred twenty three
MDXXIV	one thousand, five hundred twenty four
MDXXV	one thousand, five hundred twenty five
MDXXVI	one thousand, five hundred twenty six
MDXXVII	one thousand, five hundred twenty seven
MDXXVIII	one thousand, five hundred twenty eight
MDXXIX	one thousand, five hundred twenty nine
MDXXX	one thousand, five hundred thirty
MDXXXI	one thousand, five hundred thirty one
MDXXXII	one thousand, five hundred thirty two
MDXXXIII	one thousand, five hundred thirty three
MDXXXIV	one thousand, five hundred thirty four
MDXXXV	one thousand, five hundred thirty five
MDXXXVI	one thousand, five hundred thirty six
MDXXXVII	one thousand, five hundred thirty seven
MDXXXVIII	one thousand, five hundred thirty eight
MDXXXIX	one thousand, five hundred thirty nine
MDXL	one thousand, five hundred forty
MDXLI	one thousand, five hundred forty one
MDXLII	one thousand, five hundred forty two
MDXLIII	one thousand, five hundred forty three
MDXLIV	one thousand, five hundred forty four
MDXLV	one thousand, five hundred forty five
MDXLVI	one thousand, five hundred forty six
MDXLVII	one thousand, five hundred forty seven
MDXLVIII	one thousand, five hundred forty eight
MDXLIX	one thousand, five hundred forty nine
MDL	one thousand, five hundred fifty
MDLI	one thousand, five hundred fifty one
MDLII	one thousand, five hundred fifty two
MDLIII	one thousand, five hundred fifty three
MDLIV	one thousand, five hundred fifty four
MDLV	one thousand, five hundred fifty five
MDLVI	one thousand, five hundred fifty six
MDLVII	one thousand, five hundred fifty seven
MDLVIII	one thousand, five hundred fifty eight
MDLIX	one thousand, five hundred fifty nine
MDLX	one thousand, five hundred sixty
MDLXI	one thousand, five hundred sixty one
MDLXII	one thousand, five hundred sixty two
MDLXIII	one thousand, five hundred sixty three
MDLXIV	one thousand, five hundred sixty four
MDLXV	one thousand, five hundred sixty five
MDLXVI	one thousand, five hundred sixty six
MDLXVII	one thousand, five hundred sixty seven
MDLXVIII	one thousand, five hundred sixty eight
MDLXIX	one thousand, five hundred sixty nine
MDLXX	one thousand, five hundred seventy
MDLXXI	one thousand, five hundred seventy one
MDLXXII	one thousand, five hundred seventy two
MDLXXIII	one thousand, five hundred seventy three
MDLXXIV	one thousand, five hundred seventy four
MDLXXV	one thousand, five hundred seventy five
MDLXXVI	one thousand, five hundred seventy six
MDLXXVII	one thousand, five hundred seventy seven
MDLXXVIII	one thousand, five hundred seventy eight
MDLXXIX	one thousand, five hundred seventy nine
MDLXXX	one thousand, five hundred eighty
MDLXXXI	one thousand, five hundred eighty one
MDLXXXII	one thousand, five hundred eighty two
MDLXXXIII	one thousand, five hundred eighty three
MDLXXXIV	one thousand, five hundred eighty four
MDLXXXV	one thousand, five hundred eighty five
MDLXXXVI	one thousand, five hundred eighty six
MDLXXXVII	one thousand, five hundred eighty seven
MDLXXXVIII	one thousand, five hundred eighty eight
MDLXXXIX	one thousand, five hundred eighty nine
MDXC	one thousand, five hundred ninety
MDXCI	one thousand, five hundred ninety one
MDXCII	one thousand, five hundred ninety two
MDXCIII	one thousand, five hundred ninety three
MDXCIV	one thousand, five hundred ninety four
MDXCV	one thousand, five hundred ninety five
MDXCVI	one thousand, five hundred ninety six
MDXCVII	one thousand, five hundred ninety seven
MDXCVIII	one thousand, five hundred ninety eight
MDXCIX	one thousand, five hundred ninety nine
MDC	one thousand, six hundred
MDCI	one thousand, six hundred one
MDCII	one thousand, six hundred two
MDCIII	one thousand, six hundred three
MDCIV	one thousand, six hundred four
MDCV	one thousand, six hundred five
MDCVI	one thousand, six hundred six
MDCVII	one thousand, six hundred seven
MDCVIII	one thousand, six hundred eight
MDCIX	one thousand, six hundred nine
MDCX	one thousand, six hundred ten
MDCXI	one thousand, six hundred eleven
MDCXII	one thousand, six hundred twelve
MDCXIII	one thousand, six hundred thirteen
MDCXIV	one thousand, six hundred fourteen
MDCXV	one thousand, six hundred fifteen
MDCXVI	one thousand, six hundred sixteen
MDCXVII	one thousand, six hundred seventeen
MDCXVIII	one thousand, six hundred eighteen
MDCXIX	one thousand, six hundred nineteen
MDCXX	one thousand, six hundred twenty
MDCXXI	one thousand, six hundred twenty one
MDCXXII	one thousand, six hundred twenty two
MDCXXIII	one thousand, six hundred twenty three
MDCXXIV	one thousand, six hundred twenty four
MDCXXV	one thousand, six hundred twenty five
MDCXXVI	one thousand, six hundred twenty six
MDCXXVII	one thousand, six hundred twenty seven
MDCXXVIII	one thousand, six hundred twenty eight
MDCXXIX	one thousand, six hundred twenty nine
MDCXXX	one thousand, six hundred thirty
MDCXXXI	one thousand, six hundred thirty one
MDCXXXII	one thousand, six hundred thirty two
MDCXXXIII	one thousand, six hundred thirty three
MDCXXXIV	one thousand, six hundred thirty four
MDCXXXV	one thousand, six hundred thirty five
