sentence	label
ground transportation in phoenix	21
i want to go from boston to washington on monday morning	14
display types of aircraft departing from cleveland to dallas before noon	1
what do you know about car rental in denver	21
flights from montreal	14
what is airline nw	6
display all flights leaving from toronto to san diego on us air laying over in washington dc	14
i 'd like a limo in denver on august seventh	21
i would like to fly from dallas to denver on the morning of august twenty seventh leaving at 650	14
i need a flight tonight from charlotte to las vegas with a stop in st. louis and i want dinner	14
when can i fly from philadelphia to dallas on a saturday morning	14
give me the continental flights from seattle	14
what is fare code h	0
ground transportation in baltimore	21
show me the flights from pittsburgh to philadelphia	14
what continental flights go from chicago to seattle before 10 am in the morning that have a meal	14
show me the latest flight from denver to boston	14
show me all flights between san francisco and philadelphia for september fifteenth	14
what flights from toronto to philadelphia	14
show me wednesday afternoon flights from denver to san francisco	14
how much does it cost to fly on american from dallas to baltimore	3
what is the cheapest one way fare between boston and oakland	3
how many fares are there one way from tacoma to montreal	24
flight from denver to philadelphia	14
i 'd like to fly early tomorrow from columbus to minneapolis	14
show me the economy flights from baltimore to dallas	14
show me flights from pittsburgh to dc	14
philadelphia to san francisco next week tuesday show the flights	14
what is the earliest nonstop flight from washington to san francisco	14
can you show me flights from baltimore to dallas	14
flight from milwaukee to chicago	14
what does ewr stand for	0
i would like information on flights from dallas fort worth to atlanta on wednesday morning	14
what are the dinner flights from indianapolis to san diego on wednesday may twelfth	14
show me flights from denver to philadelphia	14
show me delta flights from dallas to denver	14
tell me about ground transportation at salt lake city	21
where is general mitchell international located	11
show me flights from philadelphia to denver on a monday	14
us 3724 baltimore to philadelphia what is the fare	3
okay can you tell me the flight cost between denver and atlanta	14
what does ls stand for	0
show me all flights from charlotte to columbus	14
list the flights on friday afternoon from philadelphia to oakland	14
describe pittsburgh airport	8
show me the flights from love field	14
i would like to book a flight for august twenty seventh from baltimore to san francisco on us air	14
what flights land at general mitchell international	14
i want all flights from atlanta to washington dc on thursday	14
please show me fares from denver to san francisco	3
what limousine service in toronto	21
show me round trip fares from new york to miami	3
how long does the ground transportation take from the salt lake city airport	21
newark to cleveland daily	14
i would like to schedule a flight on american airlines from philadelphia to san francisco that makes a stop in denver	14
i 'm interested in flying from boston to atlanta	14
what airline is the flight originating in atlanta on november seventh at noon and arriving in san francisco at 210 pm	6
list all flights from washington dc to tampa florida	14
show me the flights from boston to dallas	14
i want a flight from milwaukee to orlando one way leaving after 5 pm on wednesday	14
which flights from pittsburgh to atlanta have the lowest coach class fares	14
i 'd like to know the earliest flight from boston to san francisco	14
can you rent a car at stapleton international airport in denver	21
okay i 'd like a flight from boston to san francisco that leaves before 8 am	14
i want to go from denver to atlanta round trip and make a stop at pittsburgh may i have the cheapest fare	14
is there a delta flight from boston to denver	14
i would like to fly delta airlines from atlanta to pittsburgh	14
which flights are between boston and baltimore washington	14
i would like to fly from denver to pittsburgh and atlanta	14
on a breakfast flight from philadelphia to dallas via atlanta	14
what is the cheapest fare one way between pittsburgh and denver	3
do you have flights from st. petersburg to toronto on monday	14
list flights from boston to pittsburgh leaving early in the morning on august sixth	14
what is mco	0
please show me flights from dallas to denver	14
i need a flight on thursday before 8 am from oakland to salt lake city	14
show me flights from boston to san francisco arriving before 1 pm	14
what is the last flight from washington to boston	14
is there a flight between oakland and boston with a stopover in dallas fort worth on twa	14
i would like a nonstop flight from philadelphia to pittsburgh	14
i would like a nonstop flight from memphis to las vegas on march second	14
what 's the earliest flight from nashville to tacoma on american on tuesday the eighteenth of may	14
show me the evening flights from philadelphia to baltimore	14
are there any nonstop flights leaving from dallas to baltimore july seventh with who united airlines	14
show flights from cleveland to miami that arrive before 4 pm	14
do you have a twa flight leaving early in the morning to san francisco from denver	14
what is the cheapest coach fare from dallas to denver round trip	3
what flights are there from milwaukee to phoenix on saturday	14
what are the early morning flights from boston to denver	14
i would like to find the cheapest one way fare from boston to oakland	3
what is the latest flight from washington dc to denver	14
flights from pittsburgh to baltimore between 10 am and 2 pm	14
what planes does united use	1
show me all flight from san francisco to oakland	14
find travel arrangements for a round trip flight from boston to pittsburgh	14
does american airline fly from denver to pittsburgh	14
show me all daily flights between milwaukee and orlando	14
list flights from denver to san francisco no denver to philadelphia	14
i would like a flight on continental airlines leaving from boston making a stop in denver and arriving in san francisco	14
show me the flights from chicago to indianapolis	14
all flights to baltimore after 12 pm	14
do you have a flight on wednesday from denver to washington dc nonstop	14
i 'd like to fly from boston to fort worth	14
show me the ground transportation to westchester county	21
what airlines service pittsburgh airport	6
please list the flight times from pittsburgh to newark	19
what is the fare on november seventh going one way from pittsburgh to philadelphia	3
flying from pittsburgh to atlanta on september fourth what would be the cheapest flight	14
what 's the fare from washington to boston	3
does delta airlines fly from pittsburgh to atlanta	14
show me the flights from boston to san francisco	14
do you have a united flight from dallas to san francisco	14
show me all flights from philadelphia to denver on sunday which leave philadelphia after noon	14
show me flights from dallas to san francisco on wednesdays	14
what type of aircraft leaves from boston to washington dc at 9 am	1
flights on twa from columbus to st. louis	14
what are the flights from cleveland to indianapolis for wednesday the twelfth	14
i want to travel from philadelphia to boston on wednesday afternoon	14
i 'd like to go from detroit to san diego on wednesday evening june second	14
show me flights from denver to boston on thursday	14
i want the list of daily flights from milwaukee to st. louis	14
how much does a first class ticket cost from boston to san francisco round trip	3
please show me the cost of flight ua 201 from boston to denver and flight ua 343 from boston to denver	3
show flights leaving miami to cleveland on us air that leave after noon	14
please show me flights from atlanta to oakland california on thursday after 1600 hours	14
all flights from washington dc to san francisco after 5 pm on november twelfth economy class	14
earliest flight on american airlines from washington dc to san francisco	14
what flights do you have from boston to pittsburgh on wednesday of next week after 6 pm	14
list the wednesday flights from denver to baltimore arriving in baltimore between 1115 am and 1245 pm	14
what is the earliest flight from boston to dallas fort worth leaving august eighth	14
what 's the first class fare round trip from atlanta to denver	3
what are the first class fares from boston to pittsburgh on thursday	3
flights from montreal to las vegas	14
i need to go from boston to dallas	14
what are the afternoon flights for denver to san francisco	14
list the flights from denver to baltimore	14
what nonstop flights are available from oakland to pittsburgh	14
what are my options for a minneapolis back to indianapolis flight around noontime	14
show me the flights from san diego to newark	14
okay i want a flight originating in denver going to pittsburgh	14
what are all flights from philadelphia to denver on wednesdays	14
what flights are available friday from san francisco to boston	14
show me all flights from pittsburgh to boston which leave before noon	14
i need to take ten people from denver to phoenix please give me the flights during the week	14
i would like to travel from boston to denver early in the morning	14
what flights from salt lake city to las vegas	14
list ground transportation in detroit	21
what 's the capacity of an f28	9
what flights are available tuesday afternoon from pittsburgh to atlanta	14
nonstop or connecting flights from seattle to boston	14
what flights from cincinnati to tampa	14
all flights from denver colorado to pittsburgh pennsylvania	14
what does ea mean	0
is there a flight from nashville to houston in the evening tomorrow	14
what is the latest flight you have departing dallas to philadelphia	14
show me flights from milwaukee to orlando on wednesday after 6 pm	14
give me the lowest fare from atlanta to denver on may seventh please	3
show me the cheapest flights from baltimore to dallas	14
when is the first flight leaving from oakland to boston	14
find all flights from philadelphia to dallas stopping in atlanta	14
list american airlines flights from newark to nashville	14
may i see all the flights from washington to san francisco please	14
show me the flights to and from love field	14
i would like some information on a flight from denver to san francisco on united airlines	14
what planes are used by twa	1
i want a flight from long beach to st. louis that stops in dallas	14
i 'd like to see all the one way flights from denver to pittsburgh	14
i 'd like flights on american airlines from philadelphia to dallas arriving before 1145 am	14
please inform me the type of aircraft used on a flight from atlanta to denver before 12 o'clock noon	1
what does fare code y mean	0
what are the morning flights from boston to philadelphia	14
a first class flight to san francisco on american airlines tuesday next week	14
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore	14
what is the ap 57 restriction	0
now show me flights from pittsburgh to philadelphia	14
are there any direct flights from atlanta to philadelphia arriving in philadelphia about 12 noon	14
what is the earliest flight from oakland to washington dc on sunday	14
what airlines fly from boston to pittsburgh	6
i want a flight from toronto to san diego that stops in st. louis are there flights	14
could you please tell me the cheapest flight from boston to san francisco	14
what is the distance between pittsburgh airport and downtown pittsburgh	13
from las vegas to montreal	14
what northwest airline flights leave denver before noon	14
show all flights on united airlines from san francisco to denver to washington dc	14
what is the latest flight from philadelphia to boston	14
what times does continental depart from boston to san francisco	19
i 'd like to see flights from pittsburgh to philadelphia	14
what is the cheapest fare from denver to pittsburgh	3
list all flights from denver to philadelphia	14
please show flights arriving in philadelphia from denver	14
what flights do you have from milwaukee to tampa	14
flights from baltimore to washington dc	14
give me the cheapest flight from dallas to baltimore on saturday	14
what are the most expensive first class tickets between atlanta and dallas	3
show me the flights from san diego to san francisco on southwest airlines	14
list daily flights from denver to baltimore with first class service	14
show me all the flights arriving in charlotte around 5 pm next monday please	14
how many first class flights does united have leaving from all airports today	24
how many flights does each airline have with booking class k	24
may i fly from san francisco to baltimore	14
i 'd like to make a round trip from la to newark by way of charlotte	14
flight information from san francisco to pittsburgh	14
coach fares only weekdays for denver to boston	3
list lowest cost flight from dallas to baltimore	14
i would like to fly from boston to atlanta	14
how many cities are served by delta airlines with first class flights	24
please give me flight schedules from pittsburgh to philadelphia	14
show me the ground transportation in denver	21
what flights go from philadelphia to san francisco via dallas	14
flight from dallas to boston tomorrow	14
american flights from cincinnati to houston	14
and flights leaving from atlanta to oakland leaving after 5 pm	14
on friday i need to see all flights that leave atlanta and arrive in dallas before 6 pm	14
show me all flights from new york to miami on a tuesday with round trip fare less than 932 dollars	14
i 'm looking for a flight from boston to denver that has no stopovers and is only in the afternoon	14
i 'd like flights on american from philadelphia to dallas arriving before 1145 am	14
list all flights from long beach to columbus on sunday	14
give me all nonstops from new york city to las vegas that arrive on a sunday	14
what are the flights from boston to san francisco leaving tomorrow	14
now i need a flight on tuesday from phoenix to detroit	14
what is the earliest flight from washington to san francisco	14
find any flight from boston to oakland stopping in denver	14
okay let 's see do you have a flight on delta airline from atlanta to boston	14
do you have a flight from salt lake city to st. petersburg on june second	14
show me the nonstop flights from dallas to houston	14
can you list flights departing from las vegas and arriving in san diego	14
what is the first flight after 8 am from boston to san francisco	14
which flights on northwest and united airlines stop in denver before noon	14
flights from newark new jersey to cleveland ohio	14
what is the cheapest round trip flight from atlanta to pittsburgh	14
show me all the cheapest fares from new york to miami leaving on tuesday	3
show me all flights from ontario to tacoma one way	14
list for me only the united flights between denver and oakland	14
what is the cheapest fare from baltimore to dallas in any class	3
give me the latest flight tomorrow on united airlines from milwaukee to tacoma	14
okay i 'd like a nonstop flight from houston to memphis that arrives in memphis in the early afternoon on tuesday june first	14
i would like to travel from washington dc to pittsburgh on august twentieth	14
what airlines flies out of atlanta	6
find a nonstop flight between denver and oakland leaving in the afternoon and arriving near 5 pm	14
what flights go from baltimore to newark wednesday morning	14
list the flights arriving in boston from atlanta on august fifth	14
what time does flight aa 459 depart	19
i also need to go to san francisco on wednesday evening from dallas	14
list all flights from long beach to columbus late saturday	14
please give me all the flights from long beach california to memphis tennessee	14
do you have a flight from charlotte to atlanta on june first	14
can you show me the flights from dallas to baltimore with economy fares	14
what flights from las vegas to phoenix on saturday	14
hi i 'm calling from boston i 'd like to make a flight to either orlando or los angeles	14
what are the flights from new york city to las vegas	14
what ground transportation is available in pittsburgh	21
show me all flights from pittsburgh to oakland that arrive after 10 am	14
please give me flights from atlanta to boston on wednesday morning and thursday afternoon	14
flight from milwaukee to denver	14
what does s designate as a meal	0
i would like to find a flight that goes from tampa to montreal making a stop in new york and a flight that serves lunch	14
okay i just want to know the cheapest fare from atlanta to boston	3
list all flights leaving san francisco monday afternoon arriving in pittsburgh	14
give me flights without fares from atlanta to baltimore	14
show me the fares for delta flights from dallas to san francisco	3
what is the latest evening flight leaving san francisco for washington	14
what is the first flight from boston to atlanta and what is the last flight from atlanta to boston	14
what are the classes of service on delta airlines	14
please list all flights tuesday dallas atlanta	14
philadelphia to san francisco please	14
what airlines fly boston to baltimore	6
i need to spend much of a day on the ground in atlanta find me an early flight from boston and the lastest possible flight back from atlanta	14
does delta airline fly from denver to pittsburgh	14
list all flights from boston to atlanta before 5 o'clock am on thursday	14
list all flights from baltimore to san francisco on friday	14
show me the flights from denver to philadelphia again	14
what does hou mean	0
show me all flights from san francisco to new york nonstop	14
i need a flight from phoenix to detroit leaving monday evening	14
i would like to book a flight from chicago to seattle on june fourth	14
show me the flights on delta to atlanta in the morning	14
what 's the earliest flight from phoenix to salt lake city	14
i want to fly from kansas city to chicago next wednesday arriving in the evening and returning the next day	14
please list the sunday flights from dallas to houston on american airlines	14
what flights leave san francisco after 8 pm and go to dallas fort worth	14
what is the flight number for the continental flight which leaves denver at 1220 pm and goes to san francisco	17
what ground transportation is available in newark	21
show me all flights with fares from pittsburgh to san francisco	14
i want to fly philadelphia to dallas on july eighth	14
i would like to travel from boston to denver	14
what flights go from pittsburgh to denver after 2 pm	14
i 'd like a twa flight from las vegas to new york nonstop	14
what is the number of first class flights on american airlines	17
i would like to see all flights from denver to philadelphia	14
boston to pittsburgh	14
all flights from washington dc to san francisco on november twelfth	14
what kind of ground transportation is available in las vegas	21
show me the evening flights from philadelphia to baltimore	14
how much does it cost to fly directly from philadelphia to san francisco on american airlines	3
please list the flight times from newark to boston	19
what flights does delta have between boston and san francisco	14
give me the flights from san francisco to washington dc for december first	14
i would like information on flights leaving atlanta and arriving in dallas	14
please show me the flights from washington dc to san francisco california	14
what flights from seattle to salt lake city	14
flights from montreal and phoenix to las vegas arriving at the same time	14
show me flights from milwaukee to orlando on wednesday evening or thursday mornings	14
list the nonstop flights from miami to washington dc	14
can you list all flights departing from toronto and landing in san diego with a stopover in denver	14
give me the flights on tuesday from los angeles to pittsburgh	14
i need to reverse the flight from pittsburgh to denver please	14
i am looking to get one air fare from baltimore to san francisco on a 747 leaving august twenty seventh	3
could you give me a flight between pittsburgh and philadelphia	14
ground san francisco	21
i would like to see the daily flights from baltimore to philadelphia	14
all northwest and united airlines flights with stopovers in denver	14
what 's the difference between fare code q and fare code b	0
list nonstop flights from san francisco to oakland that depart in the afternoon	14
flights from phoenix to milwaukee	14
give me all the flights from miami to chicago on american airlines	14
please list the morning flights from philadelphia to toronto	14
how many fare codes belong to economy class	24
is there a flight on american airlines going from boston to san francisco on june twenty eighth	14
i want to fly from atlanta to philadelphia	14
early morning flights between cincinnati and tampa	14
on april eighth i would like to book a flight from charlotte to baltimore	14
what afternoon flights are available between denver and dallas fort worth	14
please list the flights from new york to miami on a tuesday	14
what is the latest flight from philadelphia to boston	14
list all flights from boston to atlanta after 6 o'clock pm on wednesday	14
list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm	14
what is the earliest flight leaving from boston going to atlanta	14
what kinds of planes are used by midway airlines	1
i need to fly from boston to denver this monday	14
i would like information on flights from oakland california to dallas leaving on sunday morning	14
what flights leave from boston to pittsburgh in the morning	14
do any of the continental flights from boston to san francisco stop in denver	14
i 'd like to see all the economy fares from baltimore to philadelphia	3
what nonstop flights between boston and washington arrive after 5 o'clock pm	14
ground transportation in denver	21
please show me flights from boston to denver with a stopover in philadelphia	14
what 's the fare for delta flight 217 from dallas to san francisco	3
i 'd like to see all flights from baltimore to philadelphia	14
what flights go from newark to boston after 5 pm	14
what flights are there from boston to dallas	14
do you have a flight from atlanta to charlotte north carolina next monday	14
from san francisco to denver	14
what flights go from atlanta to washington dc on thursday	14
please arrange a flight for me from denver to san francisco on us air	14
show me flights from dallas to atlanta on tuesday	14
what is the least expensive airfare between boston and baltimore	3
need a flight from pittsburgh to denver	14
what is the first class fare from baltimore to dallas	3
what does the airline code dl stand for	6
show me the earliest flight from cleveland to memphis	14
do you have any flights from pittsburgh to boston on wednesday of next week in the morning	14
all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday	14
please list the flights from kansas city to denver	14
please list the shortest one stop flight from ontario california to orlando florida	14
i 'd like to find a nonstop flight from boston to atlanta that leaves sometime in the afternoon and arrives in atlanta before evening	14
give me the flights and fares on december twenty seventh from indianapolis to orlando	15
show me the flights from boston to baltimore	14
show flights from pittsburgh to oakland	14
i need late flight wednesday from oakland to salt lake city	14
what is the cost of a round trip ticket flying from boston to dallas dallas to oakland leaving july first	3
what are the classes of service for continental airlines	14
all flights from montreal less than 150 dollars	14
please show me all round trip flights from new york to miami	14
what airlines have nonstop early afternoon flights from boston to denver	6
now please give me the latest flight tomorrow on twa from milwaukee to tacoma	14
what is the last flight from boston to atlanta	14
show me a list of flights from denver to baltimore on united for august third	14
what flights arrive in seattle from on continental	14
show me all flights from san diego to new york using dc10	14
show me ground transportation in boston and in baltimore	21
give me the flights from phoenix to milwaukee on wednesday	14
i would like a flight leaving from washington to boston at 110 pm on august twentieth	14
which airlines fly from boston to washington	6
show me the flights leaving charlotte to atlanta around 7 pm next tuesday	14
show me the flights that go from san diego to newark new jersey	14
show me round trip fares between san francisco and washington dc	3
what is the cheapest round trip coach flight between dallas and baltimore leaving august tenth	14
could you please show me all flights from milwaukee to montreal	14
what ground transportation is available in denver	21
how many first class flights does united airlines have departing from boston today	24
what are the flights from san jose to nashville on thursday the twentieth	14
show me a list of all the airlines that offer business class service	6
show me about the ground transportation in boston	21
what is the least expensive fare from baltimore to san francisco leaving on september thirtieth	3
is there a flight from atlanta to san francisco which connects in dallas	14
is there a flight from philadelphia to oakland with a stop in dallas	14
show me flights from san francisco to atlanta	14
flights from boston flights from philadelphia to boston on monday	14
what is the lowest fare united charges between boston and san francisco	3
what is the minimum connection time for houston intercontinental	19
list all takeoffs and landings at general mitchell international	14
show me all flights from boston to atlanta which leave atlanta after noon tomorrow	14
what flights from dallas to houston on sunday	14
what are all flights from boston to pittsburgh on wednesdays	14
give me a flight from tampa to charlotte on sunday	14
show me the cheapest round trip fares from san francisco to salt lake city	3
what flights go from dallas to baltimore	14
show me all canadian airlines flights from toronto	14
what flights arrive in chicago on sunday on continental	14
show me the cities served by nationair	11
flights from phoenix to milwaukee on wednesday evening	14
i want information on flights from atlanta to washington dc i want to leave after 4 pm on wednesday or before 9 am on thursday	14
i 'd like united airlines flights from denver to baltimore	14
show me flights from dallas to houston and from houston to dallas	14
show me the flights from miami to denver	14
in boston is there ground transportation between airport and downtown	21
i need information flight information for tuesday on a flight leaving baltimore bound for dallas	14
i would like information on ground transportation city of boston between airport and downtown	21
which flight from pittsburgh to baltimore carries the smallest number of passengers	14
what 's the first flight after 1 pm leaving washington to denver	14
i am interested in a flight on an aircraft number 727 i would like to go from washington to atlanta	14
what are the coach fares for flights from charlotte to newark tuesday afternoon	3
list ground transportation options at phoenix	21
show me the air fare for the flights from baltimore to dallas	3
please find the cheapest fare from boston to san francisco	3
fare code y what does that mean	0
show me flights from boston to denver on tuesday	14
give me the least expensive first class round trip ticket on us air from cleveland to miami	3
show flights and fare information from pittsburgh connecting through denver to oakland	14
list all flights leaving on thursday morning from new york city to montreal	14
i need a flight from boston to pittsburgh	14
list all flights on sunday from san francisco to pittsburgh nonstop	14
show me all flights from denver to philadelphia on saturday after sunday which leave after noon	14
please list the american airlines flights from philadelphia to dallas on tuesday october first	14
give me the flights from indianapolis to orlando on december twenty seventh and twenty eighth	14
show me the flights from oakland to denver	14
tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm	14
show me all flights from minneapolis to san diego that arrive before 7 pm	14
i need a flight from philadelphia to dallas	14
philadelphia to boston saturday	14
which airlines fly from toronto to san diego and have a stopover in denver	6
what flights go from charlotte to baltimore in the morning	14
what flights leave washington dc and arrive in san francisco on wednesday	14
i 'd like a flight from indianapolis to toronto leaving thursday morning nonstop	14
what is your least expensive fare between atlanta and boston	3
i need information for ground transportation denver colorado	21
are there any flights from denver to pittsburgh with a stopover in atlanta	14
list all the flights that takeoff from general mitchell international	14
i 'm going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying	1
what is the latest flight leaving newark for los angeles wednesday	14
find the cheapest one way fare from pittsburgh to san francisco	3
show me the flights from atlanta to washington dc on thursday evening	14
show me the flights from salt lake city to st. petersburg late night on tuesday	14
what is the latest afternoon flight departing san francisco and arriving in boston on november ninth	14
i would like a coach class seat on a flight leaving denver arriving atlanta	14
tell me about flights from charlotte to atlanta next tuesday	14
show me flights from atlanta to washington	14
i 'd like to take a flight from washington dc stop in denver and with my final destination as san francisco	14
what are the flights on january first 1992 from boston to san francisco	14
please give me evening flights leaving philadelphia to san francisco friday	14
what 's the lowest round trip fare from atlanta to pittsburgh	3
how many different flight classes are there	24
show me a list of flights from boston to atlanta leaving after noon and arriving before 7 pm	14
what flights are there from denver to atlanta	14
i want a flight that leaves from charlotte to newark that leaves in the afternoon or evening	14
does united airline have any flights from dallas to san francisco	14
show me flights on wednesday morning boston to denver for united airlines first class	14
which airline offers the cheapest rate going from dallas to baltimore on july fourth	6
i would like to plan a flight on american airlines from boston to denver	14
list evening flights tomorrow from phoenix to detroit	14
tell me about ground transportation at toronto	21
what are the seating capacities of planes between pittsburgh and baltimore	9
show me all flights from boston to pittsburgh on wednesday after 6 o'clock pm	14
what is the ground transportation available in denver	21
i 'd like to see all flights from denver to philadelphia	14
show me the flights from baltimore to philadelphia	14
please give me a flight from boston to atlanta before 10 am in the morning	14
show me flights from new york to miami	14
flights from los angeles to pittsburgh	14
list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth	14
what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	14
hi could i get a one way ticket from milwaukee to orlando	3
i want to see the cheapest flight from denver to pittsburgh	14
show me the flights from san francisco to las vegas	14
show afternoon flights from dallas to san francisco	14
i would like the cheapest flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth	14
round trip fares from baltimore to philadelphia under 1000 dollars	3
which airlines serve denver	6
what flights leave after 7 pm from boston to pittsburgh	14
flights from phoenix to newark	14
dl 296 denver to philadelphia what is the fare	3
show me the flights from boston to san francisco that stop in dallas	14
show me the flights from boston to atlanta and the return flights from atlanta to boston	14
how many nonstop flights going from dallas to oakland july twenty seventh	24
what is the ground transport in denver	21
please list all flights from oakland to dallas on sunday morning	14
list all flights on continental leaving seattle on sunday after 430 pm	14
what is the latest flight from san francisco to washington	14
how many of delta 's night flights are first class	24
what airline is as	6
show me ground transportation in washington dc	21
what flights leave denver before noon on northwest airlines	14
what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	14
show me the flights from baltimore to philadelphia	14
show me flights from atlanta to philadelphia in the morning	14
i would like to fly from atlanta to san francisco with a stopover in dallas	14
what is as	0
i want a flight on saturday from minneapolis to long beach	14
i would like to fly to baltimore	14
i would like a flight from washington to boston on august twentieth at 324 pm	14
wednesday morning flights between baltimore and newark new jersey	14
how long does it take to fly from boston to atlanta	13
on eastern flight 825 from atlanta to denver can you tell me what type of aircraft used before 12 noon	14
on july eighth i 'd like a flight from newark to orlando in the morning	14
what are the flights from denver to oakland	14
what flights go from pittsburgh to newark after 823 in the morning	14
ground transport phoenix	21
show me the flights from atlanta to bwi	14
what are the flights between pittsburgh and san francisco	14
now i 'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta	19
show me flights first class from san francisco to pittsburgh leaving on tuesday after 8 o'clock in the morning and before 12 noon	14
flights from pittsburgh to baltimore arriving between 4 and 5 pm	14
what is the cheapest fare that i can get between philadelphia and san francisco	3
what flight do you have from dallas to denver on august twenty seventh in the morning	14
what is the next flight from pittsburgh to san francisco after delta flight 1059	14
i need a flight from san francisco to philadelphia	14
does continental fly from boston to san francisco	14
what does the fare code yn mean	0
i want a nonstop flight from indianapolis to toronto that leaves thursday morning	14
give me all the flights from new york to miami round trip	14
show me the available flights from san francisco to boston on november twenty fourth	14
what is the fare from philadelphia to pittsburgh business class one way	3
what is the latest flight in the day from baltimore to atlanta	14
what is the fare on continental 271 from dallas to san francisco	3
show me flights on september twenty sixth please	14
what type of ground transportation is available in washington	21
what is the last flight from san francisco to boston this wednesday	14
please show me early morning flights from atlanta to philadelphia on wednesday	14
show me the airlines that use love field	6
show me all connecting flights on united airlines between boston and san francisco	14
hi i 'd like a flight on alaska airlines from san diego to toronto please	14
please show me airlines with flights from denver to boston stop philadelphia	6
list the northwest airlines flights that leave denver before noon	14
okay how about a flight on sunday from tampa to charlotte	14
what type of aircraft does eastern fly from atlanta to denver before 6 pm	1
i want to fly from boston to san francisco	14
i would like information on flights leaving early monday morning from atlanta to baltimore	14
list all the flights that arrive at general mitchell international airport	14
how do i get to philadelphia downtown from the airport	21
what is the last flight from san francisco to dallas fort worth	14
list least expensive flight from dallas to baltimore	14
could you please list all of the classes of flights there are	14
list flights from pittsburgh to san francisco	14
list all flights leaving denver on continental on sunday after 934 pm	14
what is the cheapest round trip fare from pittsburgh to atlanta	3
i 'd like to find a flight from las vegas to detroit michigan that leaves in the afternoon on monday	14
list the earliest flights from st. paul to san jose	14
would you be able to put me on a flight with delta leaving the morning of august twenty seventh from baltimore to san francisco	14
from sfo to denver	14
san francisco to philadelphia please	14
where does canadian airlines international fly to	14
what flights go from san francisco to dallas	14
what is the cheapest fare for a one way flight from boston to atlanta	3
show me what flights are available from baltimore to dallas with economy fares	14
what is the cheapest fare from dallas to denver on delta	3
please show me airlines with flights from philadelphia to dallas	6
sfo to denver on monday november eleventh 1991	14
what is the code for business class	0
flights from pittsburgh to baltimore arriving between 4 and 5 pm	14
locate flights from philadelphia to dallas stopping in hartfield	14
what kind of ground transportation is there in philadelphia	21
i 'm trying to find a flight from kansas city to burbank on saturday the twenty second	14
flights from long beach to nashville	14
show flights first class on american from dallas fort worth to san francisco international	14
give me the round trip coach fare from dallas to baltimore	3
i 'd like an early morning weekday flight from san diego to phoenix	14
is there a twa flight from las vegas to new york	14
what nonstop flights are available from oakland to philadelphia arriving between 5 and 6 pm	14
i need information on flight from atlanta to denver	14
what is the earliest departure time from boston to denver	19
ground transportation in denver	21
show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow	14
are there any 4 o'clock flights from washington to denver	14
what is the last flight from baltimore to boston	14
flights from newark new jersey to minneapolis	14
what flights go from dallas to san francisco before 6 o'clock sunday afternoon	14
i need a first class ticket on united airlines from denver to baltimore scheduled for december seventeenth	3
give me the flights with the fares from indianapolis to orlando on december twenty seventh	14
i want to fly from boston to baltimore	14
show me all flights from pittsburgh to atlanta which leave after 5 o'clock pm tomorrow	14
list all american airline flights which leave phoenix on wednesday and stop at milwaukee	14
show me flights from boston to washington on monday	14
train to newark	21
i would like to find out the ground travel available in atlanta	21
i want to fly from boston to san francisco	14
show me the ground transportation schedule in san francisco on thursday evening	21
i 'd like a list of the flights from oakland to dallas fort worth on sunday	14
find me a flight leaving boston at 12 o'clock	14
how do i get from boston to pittsburgh	14
is there a flight in the afternoon from philadelphia that arrives in the evening in denver	14
what are the fares between new york and la on monday morning	3
yes on the delta flight leaving san francisco at 225 pm arriving philadelphia 1158 pm what type of equipment is used on that flight	14
show me a list of flights from boston to dc arriving before 9 am on july twenty second	14
i 'd like to take a flight that begins in boston and lands at dallas fort worth but i 'd like to stop over in philadelphia	14
how many american airline flights leave denver june tenth	24
show me the flights from boston to san francisco	14
i 'm looking for a flight that goes from san jose to houston on may thirtieth and that leaves after noon	14
show me the flights on delta or twa which go through atlanta	14
which united airlines flights go through denver	14
i need to fly from atlanta to charlotte north carolina next monday	14
tell me which airlines have flights from pittsburgh to san francisco on monday september second	6
i need a flight from kansas city to chicago next wednesday that reaches chicago around 7 in the evening	14
what first class flights are available on july twenty fifth 1991 from denver to baltimore	14
what ground transport is available in baltimore	21
show me the cheapest flights from san francisco to philadelphia	14
show all flights and fares from pittsburgh to san francisco	15
show flights from denver to oakland that arrive after 12 o'clock	14
what does the meal code s stand for	0
does delta have an early afternoon flight from boston to san francisco	14
what are the flights from boston to san francisco	14
please show me all one way first class flights from indianapolis to memphis	14
please show me flights from dallas to atlanta on monday	14
list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore	9
